asrn	17907 
for	20778 21080 18482 16074 15314 21475 16379 16307 20620 16684 20457 15069 19444 20461 16513 15496 17750 19489 16201 17766 15967 16681 20187 16438 21469 18746 19763 20217 20299 21096 16577 20598 18489 15280 18644 17470 18840 17682 17873 16763 18222 18952 15575 20494 17593 15415 17787 19110 19742 18676 21017 19560 16752 18896 14984 21006 14843 21368 15452 20756 17053 16871 18682 16502 15859 18075 15485 17574 19377 19409 16419 21197 16369 17601 18281 17728 16177 20869 18744 14998 16766 17706 16112 20525 15553 19041 21282 17906 15798 20304 17659 19744 21497 16171 16774 16037 17835 18938 21140 18738 15542 15110 16076 17878 21319 19388 15396 21363 15200 18768 16193 20083 20446 16278 16213 17857 21502 15278 17664 18955 16357 20309 18277 17042 21392 20584 18329 16460 19683 15325 15736 15949 20919 21342 15571 17563 19880 15122 16324 17963 15872 17810 21201 21293 15368 20379 19921 18093 17755 16318 21302 19556 20142 19539 19872 17686 16166 18086 15017 21486 17534 19480 21565 15918 20721 14988 16588 20624 15624 17915 16796 20533 18079 15810 16342 19534 16636 18263 16533 16409 21165 18557 20937 15911 14951 15119 18609 15725 19383 18313 16443 19515 17589 15694 18651 18217 17612 17671 20468 18138 18521 15303 20814 15043 16152 20005 14903 16099 18101 20363 15335 15028 20273 15329 18355 17507 20637 20232 18539 16488 19912 15691 17478 15922 19118 19473 15037 16282 21357 16163 21346 15742 21541 19679 18108 17558 18616 16320 16787 14882 18176 19989 20790 19796 14854 15324 18252 14892 18605 16314 20031 19191 16646 17660 14865 16271 20439 19703 14881 15582 20409 15721 18257 20464 18145 16144 16600 19451 16465 15367 16155 19411 21503 15894 20517 15217 15250 19478 16196 15270 14993 15952 16289 20052 19075 18564 18987 17484 20887 19262 14907 19959 17493 17596 17825 18345 15103 16247 18254 15090 21275 17776 21375 19837 16297 16450 15985 16100 16923 17731 18993 15211 15549 18751 19668 19169 14932 18296 16094 16510 21371 16117 20829 15928 14849 18863 20767 16454 16685 20898 21041 20797 21525 20685 19136 19831 18763 21530 16005 19950 19088 20922 15239 19273 19208 16523 16737 17783 16775 16359 20432 17973 14886 16824 18774 17513 20095 20511 16021 18050 18875 18700 18071 20239 19943 19005 18851 14875 19180 15855 16776 19113 15956 16589 17929 18811 21454 19462 15605 16759 14921 17569 20039 19378 20341 18920 17798 19927 18590 17948 21453 20982 15597 20865 16813 15501 18149 16302 18366 16723 15898 19258 19509 20207 18367 17620 15038 21367 20981 18061 19428 21136 17518 16700 15997 18783 21248 19277 18340 14904 16406 19165 20682 15416 16714 16641 20502 17567 18769 20936 18835 15689 16872 14931 16568 20882 21157 16753 17894 19497 16398 21103 19159 18665 15856 17491 18479 17511 15194 19237 15253 20641 18959 16806 18992 18873 20693 16792 15220 17502 19379 17883 15782 21050 20764 18128 14840 17813 18001 16286 17760 20335 15617 21388 15326 16624 21114 16200 18754 19137 15545 19947 15521 17455 16257 15048 16630 19762 16115 17872 15130 18895 20775 14862 18034 16007 20651 21259 19083 20532 20101 19483 16207 16012 20298 18904 19572 19860 16593 18944 16279 20001 18504 18487 18531 15871 17670 18135 17771 15751 18187 18996 17986 18660 20678 20465 20116 18476 17597 19555 19505 19453 19561 16145 17580 18975 16088 15563 15345 15932 15444 15762 21034 15621 18719 15903 20037 17034 19464 16258 21023 16023 20828 16268 20719 16680 19781 17767 15639 15145 20662 19799 15552 18356 15162 18686 18567 15921 15596 15979 16770 15914 17562 17980 17509 18520 17913 19541 15574 16711 16211 17037 20012 19727 15455 17749 15717 19255 18954 19983 17480 20834 18300 21177 19295 17041 17540 18765 17701 17529 15829 21417 20792 18150 16140 17048 20406 21031 14867 19875 17674 14828 16009 21173 17775 19360 19780 21391 17979 20231 19057 15511 18236 21490 16565 17952 18604 16141 19447 16146 15668 18348 19702 20398 20079 16747 20649 16362 18099 16607 17051 19371 20753 18352 18911 16788 18985 15121 17479 20909 20824 17970 19441 19432 16215 19082 17957 15451 20628 15366 21131 15500 15910 14859 20995 21285 15585 17770 15904 19699 21542 18519 17925 15925 18280 15867 16022 14891 16420 14982 18146 18858 21260 15359 16095 17630 21013 16226 19403 17503 20258 17652 18621 19181 15033 21244 18922 21149 19998 19869 19713 19334 18302 16179 16893 15449 16366 19155 19773 17727 17506 16658 15531 15049 16777 18852 15961 15929 15953 16619 19832 16371 15190 18600 14844 15263 20645 18332 19042 18066 17738 21209 16130 15337 21129 20569 17839 19864 15386 15893 18654 20279 19766 21040 19672 16590 20667 15312 15274 19807 19367 19667 17501 15878 18514 16125 15703 16270 16233 21002 19645 17782 19270 21441 17716 17573 20840 20420 16243 14876 14833 16475 19087 15372 16856 19073 16248 20241 15569 21060 21221 21030 15375 16103 15478 15254 15424 18523 21093 16910 16327 19256 19968 21557 21429 14888 20907 17978 17443 21521 16818 21416 15551 20881 17812 16158 19946 17673 15677 17763 16097 18566 20618 21506 17853 18297 20286 16833 17038 20462 17559 16811 15987 20168 16006 19506 17463 16399 21277 19551 16195 21359 18865 19470 17886 15653 15975 19097 15308 17805 21480 18658 16794 16190 16851 21405 21078 14941 21297 16648 20038 19511 21266 15364 15655 20234 18530 17577 18095 16531 16287 17688 15417 14899 15421 17875 17640 18810 17666 15642 18035 21517 16232 16621 14863 15964 19963 15737 16688 15290 21232 16463 16417 20946 14877 14841 16118 15394 15595 15841 15864 15097 15767 17897 17700 15409 15504 19839 17494 20096 21539 19037 21510 16210 15001 15993 16139 15489 18782 16173 19540 18592 16710 20774 20945 17876 15454 16072 15472 18253 18689 18995 15413 16262 20833 16676 19280 21473 21143 18275 21573 17960 20440 21423 20769 19238 20270 17442 17595 21394 19823 18142 18480 20976 18748 19955 15547 20679 18753 16377 17956 19048 19055 18577 18326 17618 21109 17816 21532 15584 16164 14975 15875 21568 19751 19870 19029 15920 15804 18337 14890 17748 19787 21067 16525 14912 20550 18899 15885 19331 16300 19758 19664 19501 20459 19760 16238 19644 16430 21236 17863 20770 19381 19559 20048 20032 14873 14923 16367 19697 19420 19290 18188 21462 16826 15567 18872 15045 15349 18991 21437 16079 15005 20500 15013 15450 18625 18136 16068 19986 15704 20256 18160 19930 19223 15246 15141 15120 18849 19649 20795 15625 16216 17870 15924 15310 19653 19163 18576 18910 18638 20744 20274 19364 19874 17486 18185 20738 15226 15311 18842 21291 15879 16479 15674 16784 15024 17625 19152 16053 18857 20668 17651 21243 15682 19844 16569 21071 16597 20905 16075 15264 21448 21337 15801 21419 16221 19721 17054 17576 17662 16521 20300 20893 18595 19895 16434 18036 15179 17822 15600 21570 19312 15380 17677 16564 16126 19680 16677 15128 20045 15112 20632 16909 18229 18908 14829 16644 16176 20321 15106 18488 16219 15581 19069 19127 14959 16360 16147 15556 17849 21459 19767 15960 20311 21210 15636 19833 15391 20230 14852 16339 19471 18921 18642 17521 18028 16316 20129 19167 18080 16739 19193 18688 14930 21261 18674 15939 18472 17927 21123 15352 18795 16426 20092 20523 18591 17039 15129 17719 20395 15543 17874 19178 15676 16481 18917 15800 19570 15400 20653 15309 21278 16071 19981 21556 15029 16214 17488 20441 15838 15772 18276 19297 21404 21267 18210 19241 16354 19684 20773 17707 15149 18177 16225 21561 21283 20186 19269 18339 17907 15306 19017 15479 19009 19557 18213 16277 16922 19322 15255 15198 21134 21369 15406 19028 19419 16527 16483 18973 19507 18085 16585 21287 18728 21018 17585 20114 18317 15442 17446 17714 17452 20259 15378 19499 16086 21007 20496 19732 19387 19318 15447 15698 20896 19329 16149 15341 19769 19546 21567 20878 17923 17877 19693 18328 18736 20890 21512 18672 15656 20787 15425 20557 15753 15607 18752 21550 17487 16574 15853 16030 15004 18565 17955 16885 20389 17966 17837 15219 21000 19866 17892 16194 16675 17746 17694 14858 20261 15095 15912 21386 20485 15973 20080 15468 19477 17683 18360 16161 16108 15302 18182 16929 16415 16119 20030 16203 15213 15623 17896 17888 19756 15281 17962 16790 18781 19050 17780 21097 15816 16519 18009 15292 15917 16611 19786 15565 17448 18490 16649 15858 20308 19000 19061 18614 17441 21538 21152 15572 21393 16236 20347 18323 18994 21501 20759 16740 16727 16492 17950 19006 17538 15895 18698 15840 20474 21401 15287 15757 17911 18867 18325 20811 15836 19033 17871 21253 18029 16783 17579 15675 15091 17499 18148 15620 15063 20698 18906 20119 17993 21251 19128 16241 20103 18859 14839 16493 15591 20489 18111 17519 19890 16433 15271 20291 15429 17759 19065 19882 18663 16052 16656 15808 18238 21321 19964 18924 15031 14933 15995 16459 18930 18990 15227 15464 19263 18014 16332 14949 19681 18467 15446 17860 15503 15061 16041 14987 19867 18336 18882 17654 15561 21427 16615 19663 20546 19283 20035 15240 16707 16868 16853 18544 16749 15927 17769 20382 19044 17036 15212 18186 21466 15720 20706 19291 21336 17703 16875 16718 19351 15821 21112 15618 21519 15132 20340 17643 19272 18104 14900 16123 19625 20959 21376 15238 20008 15923 20377 15357 19213 15664 21228 15363 20734 14911 16093 16403 18231 19285 17864 19101 18860 17047 19510 16288 21046 18962 16404 20991 16601 20087 18667 20822 20723 20535 20393 16336 19549 15154 20137 16563 15686 17449 15460 16604 17516 17568 21019 18040 19830 15999 17477 21039 14826 20709 20868 16549 15559 16926 14861 21358 17933 18540 21535 17472 19373 16148 21508 16917 15020 21571 17809 15916 20766 17899 15629 18109 
organization	18222 19377 15949 20005 19473 18700 17716 19828 18991 20878 17499 18014 19285 17568 20465 18996 18604 20079 16734 17707 19387 19318 19000 18323 
chang	20264 19040 
heeding	15552 
despite	19110 20262 18252 15549 16140 14833 15394 15547 15581 19387 14843 16171 15110 15694 15043 20005 15223 14881 19478 18257 14875 20039 17948 16765 21157 15194 18992 19083 15617 19505 17771 16088 17986 16680 15639 16009 17952 17979 17479 15451 18519 19998 16226 18302 16399 21277 14912 20048 15567 16068 15450 18625 20744 18849 17870 16053 17874 19684 21561 16885 17923 18328 18672 18360 18781 17888 17499 21076 21321 15227 14987 18357 16069 18231 19101 21019 14826 15020 
drive	17470 17963 18609 15270 15549 21536 16200 16788 21575 17839 15454 16075 18642 18917 15840 21535 17929 20095 
jury	16565 
winning	19760 15349 20500 18328 
satoshi	15048 17943 17051 20012 16770 
chief	16577 15416 15596 19810 18621 18658 18730 16597 15281 20035 20869 16112 21368 21497 20262 21293 18086 17507 18252 19478 14993 20409 16589 14921 19483 20001 16495 16903 20037 19875 16146 16788 15511 17970 16233 17839 21277 19828 19839 21510 16072 21423 14975 14890 20459 20500 15581 17849 16176 20653 16852 16483 15442 16277 17966 18575 18672 14872 19006 21251 21477 15840 16604 17477 14826 16343 21508 
acquisiton	20450 21404 
sidelines	19867 
sgat	21430 
xebc	15270 
vessel	21526 21131 15531 15726 18571 21523 17492 20058 
europa	15306 
srh	20657 
7754	19890 
holland	18348 16648 
caspar	21006 20464 21443 20981 21131 21013 18328 18231 21459 20632 21492 21501 
blockade	21486 21002 
olein	16193 19088 16362 
antonio	21065 
buffet	21236 
permanently	19505 19766 
spokesperson	19255 
cumulative	15593 18300 15692 15055 19029 21437 20114 15917 18014 19625 16601 21392 14988 16163 20176 19136 21175 16115 17760 15871 19368 17573 16216 16053 17651 15960 18229 
chittagong	19055 
premadasa	17979 
moral	21210 
142	20334 17558 16106 16189 15386 15570 21573 20384 15641 15448 16111 19110 20001 21219 16744 20391 18363 18120 16068 20180 15951 16069 15618 
12p	17922 17901 
experimental	15043 
overthrown	17962 
romero	20649 20045 17477 
lpai	20502 
intimidation	20333 
applebaum	15639 
comm	16652 
kiel	16268 16158 
keller	19828 
ct	19374 16319 21244 21178 15767 16804 19466 17791 17661 16410 18952 20517 16289 15834 20138 21132 18828 15563 18719 16022 14981 20174 16799 17753 17607 21286 19357 19966 19644 16441 15704 15831 18606 15667 20673 20657 16244 18307 17617 19862 16858 21193 20507 19674 15482 
stock	20159 17766 16307 20217 15280 17873 20803 17787 21017 20457 18896 16513 15496 19489 20494 18222 17574 16419 16670 20396 18938 15110 21319 16112 20525 15553 16278 20309 19359 16029 15963 15278 21201 21412 16588 18955 20584 16460 20262 19683 15736 15571 19880 15122 16324 15810 15119 17777 18313 17612 20468 20814 16409 20328 15335 21165 15028 20273 17507 18986 19679 16488 17558 14892 17660 16421 21357 16163 19989 19796 19411 19703 20517 15593 16405 15090 20210 17776 19837 21382 16297 16923 21187 17731 20767 16685 20797 20685 19831 21175 14932 19448 15672 20922 15239 16523 16737 19731 16026 18811 20432 15605 14921 16252 20039 19378 17930 19984 19258 18875 17973 17702 19325 16765 16813 15501 16714 16872 20207 21157 16398 20917 16792 20764 21136 16700 21248 16641 20502 17502 19379 17883 15782 17760 20775 20298 20001 17733 21114 16200 17872 16608 19654 20921 16268 18660 20678 20465 19464 16258 21146 18187 16680 15639 16211 18300 21128 20792 17980 19983 20834 17551 21173 19360 19780 20079 15785 19441 17479 20824 19432 21542 14891 15161 14982 20628 19761 21265 15055 17630 15585 17770 20220 21260 15359 16226 19155 17506 15210 17738 19334 19713 15190 18600 20667 20569 15878 19368 17573 16475 21403 19766 19367 19667 17782 19270 19406 21040 19073 20241 15569 21060 21221 21030 16818 17812 17763 15424 16910 21277 21557 14888 20021 20286 16648 20234 17688 19435 21480 19511 15364 21232 16463 16417 17700 18592 20945 16873 16072 19666 20679 16377 21109 15413 16262 14890 16676 15875 19751 21333 16638 19381 19290 15349 20500 20256 19758 17866 19760 15807 20048 16767 15704 15141 18576 15120 19364 19649 16216 15674 15682 18638 20744 19482 15310 17625 20973 16395 17651 20905 21408 21073 17822 17827 19680 15909 21071 16363 17576 19312 16591 16677 15128 16486 19127 16360 19767 20311 19833 20230 20888 18229 18028 18688 21362 18861 19690 16176 18221 21278 15384 15772 21404 18210 20186 20378 20798 17784 15029 20773 17707 15149 21287 20114 16277 20259 15698 18334 20557 18239 17746 15095 19358 15912 18575 21411 15565 17698 17896 15294 16444 21501 19050 20216 19343 19719 15757 16727 21253 18029 15091 17499 20698 17538 15591 15429 17911 20811 20419 17950 17993 21251 18924 16459 21202 18014 17860 20972 20546 16656 20382 18238 17036 19681 18467 18663 19500 14900 15713 16718 19351 20734 16288 21046 20959 21376 21228 20371 14911 16093 16310 17864 20137 17568 21019 16404 15107 21028 17809 14826 20868 16549 15559 
heusen	17808 
calny	16884 20945 
facilties	20840 
preventive	16268 
ravenna	21454 21462 
impressive	18348 18009 17871 
maximise	18504 
kiichi	19989 15549 19023 19993 15454 15483 15453 16745 17047 15432 15048 15617 
cmca	16546 21113 
nursing	19727 15961 15024 
oilseeds	20461 17755 15574 18306 15531 20462 20550 16265 16147 20389 15917 18744 21497 
inventory	18676 16320 16765 17037 15121 18146 15263 15310 21337 16086 19478 18987 16016 17573 15960 16316 18917 18276 
mgs	19731 19654 
monitored	21149 21517 21568 
csol	18830 
citt	19045 16747 
pebw	20415 
393p	19507 
bolivar	17877 
politics	20005 
christie	16173 
eleventh	18539 
negotiated	16307 19683 21357 17783 17480 16215 16130 21040 21059 18917 21567 17513 20511 16794 17805 15246 17486 
tire	19921 16252 19930 16597 16483 
introducing	17593 18604 
enhancing	16875 
duration	20341 16216 20030 
reassure	16200 19511 15581 
st	18313 21114 18567 19441 16139 17866 20485 17911 15240 15710 16488 16271 18317 16149 
doubled	17506 19918 14890 19073 15254 
nairobi	15584 
raj	18938 
sns	20215 
997	20457 20220 20279 20286 
001	20479 20381 19862 16422 15521 15871 
sci	15060 19906 
socialist	14928 15253 
subsidiaries	17682 21382 16026 15345 16621 19751 14873 17644 20467 15389 21466 16112 14843 17984 15691 17529 21417 19775 17488 16354 20419 17950 
writedown	20533 16252 17506 
182	15890 16274 19790 18904 16463 15584 21214 20927 15816 15000 20670 20645 
revolving	20725 
pais	21065 
soufre	18882 
newcomer	17915 
trump	15810 15124 15128 15459 15239 
backdrop	17750 16108 
nbi	21222 
personnel	14843 18138 16765 20981 21149 19055 20103 15894 15103 21459 21210 20092 16159 
depended	16763 21368 16658 21423 18571 15939 18085 16790 
spurt	21392 
patents	16926 
aquire	14982 15569 
dot	18682 21002 
phoenix	20641 15596 18467 
telkon	15898 
147	15448 15725 18493 20181 20391 15703 15875 21105 20517 19978 16809 15860 15002 20711 18996 20286 21489 21359 15642 15737 19037 15454 
baking	20641 18297 19839 16216 
indications	15223 20239 15220 19483 15171 15727 
program	19762 18352 18530 18275 16316 18902 15314 20187 20620 18676 17574 18281 17906 19744 16278 18277 18263 17612 16651 15803 20232 20469 20409 20464 21382 16600 14875 16252 15860 15194 20678 20465 17509 17913 15574 14891 18858 20258 16777 20840 16856 15254 18297 15409 16710 16430 19930 18849 20738 14909 16564 15543 15313 18973 21314 15811 17780 18009 18614 15063 15271 19737 16332 15927 16875 21046 20137 17477 16601 15916 14826 16246 
ess0	18367 
pdq	19767 
refuses	16680 19269 
internation	20881 
bouyed	20264 
homemade	21136 
regulated	14858 
gll	20917 
organized	15597 17782 16727 21376 
manila	20052 20021 15056 15413 14921 16765 
kec	20498 
winston	15146 15213 
s	20778 21080 15314 21475 16331 20228 16307 19110 18676 18482 20159 19444 20461 16513 16264 17750 19489 16201 16681 19647 16379 18997 21469 18746 15877 19763 21096 15520 16577 20471 17470 18840 17873 16763 18222 19658 19199 17593 15415 20620 16111 19560 16752 18896 14984 21006 21197 18281 20869 14843 16256 15452 20756 19416 17053 16871 15978 18682 15859 18075 15485 17574 19377 19409 21387 15206 18744 21151 16766 17706 16112 20525 19041 21282 16755 17906 15798 21576 19744 16427 21368 20396 21497 15854 16774 15234 19271 18938 17926 15866 16080 16076 21319 19388 15200 17445 18768 16278 16213 16029 21502 15963 18347 16304 16357 15351 18277 17042 21392 20584 18329 16460 20262 19683 15325 15736 15949 20919 21342 15571 17563 19880 20450 15122 21465 17963 15872 21201 21293 15368 20379 18093 15528 17755 16318 19556 16285 19539 17686 16166 18086 21486 19480 21565 15918 20721 14988 16588 20624 15624 16555 17915 15810 17742 19534 16636 15725 20090 18263 21553 16212 15273 15223 18557 20937 18609 15911 14951 15890 18370 16188 15646 16533 16170 17589 15694 18651 18217 17612 20468 18138 18521 15303 16651 15043 16152 21091 20005 14903 20363 15335 16282 15329 20232 15742 18616 16787 15996 15691 18252 17958 14892 19191 15922 14928 18355 21357 16163 20637 17984 20469 18539 21541 19679 18108 18963 16488 19965 19433 19912 14882 21245 19989 20790 19796 14854 16695 17478 16646 14865 18569 16421 16271 20439 15188 14881 15582 18987 18257 20009 20464 18145 16144 18945 15367 16155 19411 21503 15894 20517 16077 15217 19478 21460 16196 14993 15270 17473 15952 16289 15602 20409 20052 19075 19630 14907 17596 17825 18254 15103 17776 19837 21382 18670 16600 16100 21187 21525 15549 19136 18751 19668 21175 19169 16737 14932 18296 16094 16510 17731 16499 16117 20829 15928 14849 18993 20458 19831 21530 18496 16005 19950 15523 19088 20922 15239 17658 16775 17052 15855 16359 15605 16252 18774 20392 19808 20511 20865 15501 18366 19198 21130 18700 18071 20239 19005 14832 18851 14875 19113 15956 16589 17929 18811 17973 20671 16759 14921 17569 20039 19378 19927 17513 17930 21443 15906 21453 20982 19325 16765 19984 18050 16723 15989 15156 18340 14904 18157 18367 19497 16908 15860 20666 18992 20764 21367 16134 20981 18061 21136 18783 20682 15532 15416 16714 19509 20925 20936 14931 18835 15689 20882 21157 16753 16398 16383 21103 18665 15856 21536 15038 19835 15845 18479 17511 15194 15253 18873 20693 15002 15220 17502 17883 21050 14840 18001 16257 17872 16286 17760 15617 18904 16495 20106 16200 15643 19947 15521 15048 16630 19762 16115 14862 18034 16007 19201 20335 15527 19083 20532 20101 19483 18798 16207 16012 16593 18944 20001 18487 16624 15793 16512 18362 18531 15871 18660 17943 18135 14957 19555 16088 15322 15444 15903 18187 19635 20662 18996 17986 16903 17670 20116 18476 19505 19453 16372 17771 15563 15345 21023 16023 20828 17743 15751 16268 20719 20757 16680 19781 17767 15639 19799 16442 15552 18567 15574 15921 15596 15863 19903 16770 21128 17048 17980 21031 17509 18342 18520 17913 19541 20264 16211 17037 20012 15455 19255 18954 19983 17480 20834 16496 15979 19295 17041 15093 15914 17701 17829 17529 14913 15510 15829 21417 18150 16140 19875 17551 16565 14828 16009 20989 19360 18348 20135 20247 19371 21391 20231 19057 18236 17952 18604 19447 16146 16162 20398 20079 16747 18099 16607 18352 18911 17979 20725 16788 17723 18985 15121 17479 20909 20824 17970 17823 19432 21542 15451 14891 15366 21131 16120 20515 20910 15910 19529 18563 16215 17770 15904 18519 17925 15925 18280 18106 19810 15161 16420 14982 19802 18146 18858 16189 15438 14859 15055 21013 18321 21051 16226 19403 15404 17503 20258 18621 19181 15929 15263 18066 16130 21149 15033 21575 15397 19998 18749 19869 19334 18302 19784 17652 16179 17523 16366 19821 19155 19773 17506 16658 15531 15242 15049 16777 18852 15953 16619 19832 18668 19293 20645 19042 15210 18332 19672 15312 18470 17782 17573 15386 20420 15893 19766 19406 15274 19807 19367 16125 14978 19918 15703 16233 21002 19645 17968 20082 17839 16932 19864 14876 14833 19087 15365 16475 15372 20902 16856 16197 18570 19073 15230 20241 15569 21060 15146 21030 15551 15375 16103 20763 15254 17763 18523 16581 17559 19968 21557 14888 20907 17978 17443 21521 18664 20881 17812 16158 19946 21551 18566 19993 16407 16097 19418 20618 21506 18297 20286 19062 16833 20021 17853 17038 18932 20462 15987 20168 16006 19506 17463 15410 21277 19551 19828 21315 16195 18865 17886 18017 15653 18095 15975 19097 15308 17666 18658 16794 20444 16190 16851 21078 14941 16648 20038 19511 15364 15846 16505 18530 17577 21562 16396 15421 16570 15417 18035 21517 16232 14863 15964 15737 16688 15290 19933 15097 16463 15193 14841 16118 15394 16873 19982 15864 17700 15409 15913 19839 17494 20096 21539 19037 16107 16139 14919 18782 16173 19540 18592 16710 20774 17876 15454 16072 20025 15778 21339 15472 18753 19870 16676 19902 21473 18275 21573 20769 20270 17442 15388 21394 19092 18995 15870 19823 18142 18748 19955 19397 15547 20679 19048 18577 17618 14885 18013 21532 15584 16164 15817 15413 15573 15875 21568 19751 15804 19748 18337 14890 21138 17748 21067 16650 20459 16525 14912 16430 19559 18888 19290 15567 15885 20500 19930 19760 16238 21236 17863 20550 21333 20048 14873 14923 16367 15349 19081 18991 15013 15450 18625 18136 15868 16068 16767 19986 17924 20941 15896 19664 19975 15246 18576 17964 19364 18849 19649 20795 21291 15625 16479 17870 15171 19844 15874 19906 19223 19653 14926 18638 20744 19874 17486 18185 20738 15226 20263 21172 17722 15674 16784 15237 15310 19152 18024 16053 18857 21243 21071 17054 20893 19895 16075 15264 15600 17827 16126 21419 19721 16402 15387 16597 16265 21168 20905 21408 15179 21073 16091 14909 15568 19312 15380 18466 16591 18554 16564 16677 15128 20045 20208 15112 15106 19069 20311 15494 16909 18642 14829 16316 18080 16219 15581 18509 14959 20071 15556 17849 16854 21459 16627 19767 20632 18861 15636 21210 17644 14852 19471 18921 19431 16176 19275 16739 19193 18688 14930 21261 18674 20092 15876 15939 18472 16734 21123 20333 15352 20186 16858 16429 20344 16159 15453 17039 15976 15543 17874 15676 16481 17927 19775 18051 15313 18917 19570 15400 20653 19981 21556 17784 15865 16214 20441 15838 15977 18276 21404 20949 16852 21179 18210 19241 16354 19684 20773 17707 15149 18177 16225 21561 16122 19269 18339 20798 17907 15306 15198 21369 19028 16483 18728 17585 18213 16277 19329 14842 15255 19557 21303 18973 15436 19507 18085 15641 21287 16751 18317 15442 17446 18778 20259 17452 19499 21007 20496 19387 19318 15447 15698 15341 19769 19546 15425 16663 17877 19693 16194 18328 20890 21512 18672 15656 16108 16255 15607 18752 16574 15853 15420 18565 21567 17457 18807 20878 17923 21193 20389 17966 18902 19734 15219 17746 17881 17916 19492 14858 20261 15095 15389 18575 20485 15973 20080 15052 18360 16161 20787 18271 16929 20030 16611 15213 19719 17888 15281 16790 18781 19050 21492 20216 17780 21097 15816 16519 18009 15292 16263 16415 21411 16119 19786 15565 16745 18490 19412 17896 16649 15858 17669 20308 19000 19061 18614 21538 21152 15572 18234 21393 15294 19756 16444 16236 18994 21501 16740 18483 17962 20019 15287 16727 19033 17871 20698 21251 15895 18951 15271 15840 20474 21401 17759 17911 18867 18325 14872 18029 16783 15675 15091 17499 18148 15620 15063 19022 17950 17758 16150 18946 19006 16772 14839 19128 20103 16493 20013 20489 19890 18111 21477 17519 15096 21076 19996 15031 19263 16332 19065 19867 19882 15561 18663 16853 15808 18238 18357 19059 21321 19964 18924 18990 21202 15227 21065 18467 17860 14987 15503 15061 19991 18527 15240 18585 16052 20249 18544 16749 15927 17769 20382 19044 15768 17036 15212 16706 18186 21466 15720 18898 20706 19291 17643 20669 16380 16875 16123 21216 20911 19351 15357 20611 21228 17047 15618 16063 19510 18104 14900 21336 16004 15713 20959 21376 15238 20008 15869 15923 15363 20734 14911 16093 18231 19285 16310 19101 21519 19380 21046 19764 18962 20161 15111 20991 16926 18308 16601 16343 15107 20087 15550 16083 15020 19040 14922 18109 15154 16336 15686 17449 15460 16604 17516 21019 18228 15999 17477 14826 20868 21358 17933 21535 16779 21508 18667 20366 20723 16667 20631 21571 15916 
